ko	pathway_id	pathway_name
K02970	path:map03010;path:ko03010	Ribosome;Ribosome
K02914	path:map03010;path:ko03010	Ribosome;Ribosome
K02874	path:map03010;path:ko03010	Ribosome;Ribosome
K02950	path:map03010;path:ko03010	Ribosome;Ribosome
K02919	path:map03010;path:ko03010	Ribosome;Ribosome
K02110	path:map00190;path:ko00190;path:map00195;path:ko00195;path:map01100;path:ko01100	Oxidative phosphorylation;Oxidative phosphorylation;Photosynthesis;Photosynthesis;Metabolic pathways;Metabolic pathways
K02948	path:map03010;path:ko03010	Ribosome;Ribosome
K02963	path:map03010;path:ko03010	Ribosome;Ribosome
K02909	path:map03010;path:ko03010	Ribosome;Ribosome
K03530		
K02946	path:map03010;path:ko03010	Ribosome;Ribosome
K02890	path:map03010;path:ko03010	Ribosome;Ribosome
K15987		
K01507	path:map00190;path:ko00190	Oxidative phosphorylation;Oxidative phosphorylation
K03408	path:map02020;path:ko02020;path:map02030;path:ko02030	Two-component system;Two-component system;Bacterial chemotaxis;Bacterial chemotaxis
K03406	path:map02020;path:ko02020;path:map02030;path:ko02030	Two-component system;Two-component system;Bacterial chemotaxis;Bacterial chemotaxis
K09919		
K01950	path:map00760;path:ko00760;path:map01100;path:ko01100;path:map01240;path:ko01240	Nicotinate and nicotinamide metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of cofactors;Biosynthesis of cofactors
K04751	path:map02020;path:ko02020	Two-component system;Two-component system
K00901	path:map00561;path:ko00561;path:map00564;path:ko00564;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map04070;path:ko04070;path:map04072;path:ko04072;path:map04361;path:ko04361;path:map05231;path:ko05231	Glycerolipid metabolism;Glycerolipid metabolism;Glycerophospholipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Phosphatidylinositol signaling system;Phosphatidylinositol signaling system;Phospholipase D signaling pathway;Phospholipase D signaling pathway;Axon regeneration;Axon regeneration;Choline metabolism in cancer;Choline metabolism in cancer
K03088		
K01652	path:map00290;path:ko00290;path:map00650;path:ko00650;path:map00660;path:ko00660;path:map00770;path:ko00770;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01210;path:ko01210;path:map01230;path:ko01230	Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine biosynthesis;Butanoate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K01653	path:map00290;path:ko00290;path:map00650;path:ko00650;path:map00660;path:ko00660;path:map00770;path:ko00770;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01210;path:ko01210;path:map01230;path:ko01230	Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine biosynthesis;Butanoate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K00053	path:map00290;path:ko00290;path:map00770;path:ko00770;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01210;path:ko01210;path:map01230;path:ko01230	Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K17103	path:map00260;path:ko00260;path:map00564;path:ko00564;path:map01100;path:ko01100;path:map01110;path:ko01110	Glycine, serine and threonine metabolism;Glycine, serine and threonine metabolism;Glycerophospholipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites
K01649	path:map00290;path:ko00290;path:map00620;path:ko00620;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01210;path:ko01210;path:map01230;path:ko01230	Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine biosynthesis;Pyruvate metabolism;Pyruvate metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K21420		
K00684		
